latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.790861,76.6313,88.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),wind_speed_10m_max (km/h),temperature_2m_mean (°C)
2016-01-01,29.8,19.9,0.00,20.5,24.7
2016-01-02,30.8,19.0,0.00,17.9,24.6
2016-01-03,31.2,18.0,0.00,18.0,24.4
2016-01-04,30.9,17.5,0.00,17.9,24.5
2016-01-05,31.2,18.3,0.00,14.3,24.8
2016-01-06,31.5,19.6,0.00,14.6,25.8
2016-01-07,30.8,21.3,0.00,17.7,25.7
2016-01-08,31.6,21.6,0.00,15.8,25.9
2016-01-09,31.4,20.8,0.00,15.0,25.4
2016-01-10,31.2,20.2,0.00,15.3,25.6
2016-01-11,31.3,20.5,0.00,14.4,25.4
2016-01-12,31.6,19.7,0.00,13.9,25.4
2016-01-13,31.1,19.9,0.00,11.4,25.2
2016-01-14,31.7,19.2,0.00,13.4,25.6
2016-01-15,31.6,20.4,0.00,14.0,25.4
2016-01-16,33.1,19.7,0.00,8.4,27.1
2016-01-17,32.6,20.2,0.00,10.7,26.8
2016-01-18,32.7,20.3,0.00,11.8,27.0
2016-01-19,33.0,22.0,0.00,12.0,27.9
2016-01-20,31.9,24.5,0.10,10.6,27.8
2016-01-21,31.9,24.6,0.10,11.5,27.6
2016-01-22,32.5,24.1,0.00,15.9,27.7
2016-01-23,32.8,23.5,0.00,17.9,27.7
2016-01-24,33.1,23.7,0.00,16.2,28.0
2016-01-25,33.2,23.7,0.00,14.0,28.0
2016-01-26,33.6,23.6,0.00,13.1,28.7
2016-01-27,33.7,23.1,0.00,10.6,28.5
2016-01-28,34.1,22.0,0.00,13.6,28.5
2016-01-29,34.6,21.4,0.00,14.8,28.1
2016-01-30,33.0,20.5,0.00,19.0,26.5
2016-01-31,33.4,20.2,0.00,18.2,26.7
2016-02-01,34.0,19.6,0.00,18.2,26.6
2016-02-02,34.6,18.8,0.00,17.1,26.7
2016-02-03,34.1,19.0,0.00,16.6,26.7
2016-02-04,34.4,19.0,0.00,18.4,27.0
2016-02-05,33.2,19.7,0.00,14.6,26.5
2016-02-06,34.4,19.8,0.00,11.8,28.1
2016-02-07,35.3,22.9,0.00,7.6,29.3
2016-02-08,35.3,23.4,0.00,14.0,29.6
2016-02-09,35.1,24.0,0.00,10.4,29.5
2016-02-10,35.1,24.8,0.20,7.5,29.3
2016-02-11,34.6,24.6,0.10,6.0,29.2
2016-02-12,36.0,25.0,0.00,5.9,30.1
2016-02-13,36.0,24.1,0.00,8.7,29.8
2016-02-14,34.9,22.6,0.00,15.1,28.9
2016-02-15,34.7,21.4,0.00,14.2,28.6
2016-02-16,34.8,23.1,0.00,15.4,28.7
2016-02-17,32.7,23.2,0.00,16.7,28.6
2016-02-18,34.1,24.7,0.00,23.9,29.1
2016-02-19,35.1,24.2,0.00,17.0,29.8
2016-02-20,36.7,23.4,0.00,12.4,30.1
2016-02-21,37.5,25.4,0.00,8.6,30.6
2016-02-22,38.3,25.3,0.00,13.9,31.4
2016-02-23,37.6,24.8,0.00,7.4,30.4
2016-02-24,36.6,24.4,0.00,10.6,29.5
2016-02-25,37.4,24.9,0.00,7.0,30.5
2016-02-26,36.0,24.9,0.00,15.8,30.3
2016-02-27,36.0,24.4,0.00,15.7,30.1
2016-02-28,36.1,25.7,0.00,16.9,30.5
2016-02-29,35.9,24.8,0.00,15.9,30.0
2016-03-01,36.2,24.0,0.00,16.7,29.9
2016-03-02,35.9,23.8,0.00,15.6,29.7
2016-03-03,36.4,24.3,0.00,17.4,30.3
2016-03-04,36.8,23.0,0.00,13.6,30.2
2016-03-05,37.5,23.2,0.00,13.8,30.4
2016-03-06,37.5,23.5,0.00,9.8,30.4
